"variety","points","price","n","almond","apple","balanced","berry","bitter","blackberry","bright","cherry","chocolate","coffee","complex","crisp","currant","dark","delicious","dry","earthy","easy","elegant","floral","fresh","fruits","fullbodied","herb","juicy","leather","licorice","light","lively","mineral","pepper","plum","raspberry","refreshing","rich","ripe","rose","savory","smooth","soft","solid","spice","strawberry","sweet","tangy","tannic","tart","tobacco","vanilla","wild"
"Petite Sirah",88.2038961038961,31.4661458333333,770,0,0.0361925443358668,1.01339124140427,1.48389431777054,0.506695620702135,8.79478827361564,0.723850886717336,5.03076366268549,6.47846543612016,2.20774520448788,1.1943539630836,0.253347810351068,2.06297502714441,7.2023163228375,1.59247195077814,4.01737242128122,1.30293159609121,0.361925443358668,0.832428519724937,0.579080709373869,0.90481360839667,0.615273253709736,2.75063336952588,0.434310532030402,1.37531668476294,2.20774520448788,2.49728555917481,0.941006152732537,0.1085776330076,0,6.11653999276149,2.64205573651828,1.48389431777054,0.0723850886717336,4.70503076366269,4.48787549764748,0.0723850886717336,0.977198697068404,1.55627940644227,4.66883821932682,0.398117987694535,2.24393774882374,0.470503076366269,2.56967064784654,0.0723850886717336,4.88599348534202,1.04958378574014,1.44770177343467,1.91820484980094,0.651465798045603
"Pinot Blanc",87.9328859060403,22.1,596,1.2450481041313,13.5257498585173,1.98075834748161,0.0565930956423316,0.905489530277306,0,4.24448217317487,0.0565930956423316,0.0565930956423316,0,0.67911714770798,7.35710243350311,0.0565930956423316,0,1.92416525183928,3.50877192982456,1.0752688172043,1.30164119977363,1.92416525183928,1.13186191284663,9.39445387662705,1.30164119977363,0.848896434634975,1.0752688172043,1.75438596491228,0,0,4.75382003395586,1.81097906055461,4.69722693831353,0.622524052065648,1.01867572156197,0,2.49009620826259,4.69722693831353,7.13073005093379,0.33955857385399,1.0752688172043,2.1505376344086,4.58404074702886,0.33955857385399,3.16921335597057,0,1.01867572156197,1.0752688172043,0,1.64119977362762,0,1.92416525183928,0.0565930956423316
"Pinot Gris",87.5484642999601,20.3389051399916,2507,1.97368421052632,11.3011695906433,2.45614035087719,0.131578947368421,1.65204678362573,0,3.46491228070175,0.292397660818713,0.043859649122807,0.0292397660818713,0.862573099415205,6.78362573099415,0.043859649122807,0.087719298245614,1.18421052631579,6.4327485380117,0.482456140350877,2.63157894736842,0.789473684210526,1.60818713450292,8.12865497076023,1.6374269005848,1.12573099415205,0.833333333333333,2.5,0,0.0584795321637427,4.94152046783626,1.90058479532164,2.45614035087719,1.0672514619883,0.116959064327485,0.0146198830409357,2.73391812865497,4.1812865497076,7.10526315789474,0.599415204678363,0.87719298245614,1.37426900584795,2.04678362573099,0.33625730994152,3.30409356725146,0.146198830409357,3.7280701754386,1.52046783625731,0.0584795321637427,2.47076023391813,0,2.33918128654971,0.146198830409357
"Pinot Noir",89.4024381178919,47.3775683608837,13453,0.118557478821323,0.280226768123127,1.44855683214417,2.25474768812916,0.523808497337846,0.916125972710224,1.95512060528982,12.0368174861503,1.44209006057209,0.569075898342351,1.87751934642495,1.96374296738592,0.890258886421935,2.81304563385139,1.54340281520122,3.44678924791447,2.32372658489793,0.60572093725076,1.58867021620573,0.603565346726736,2.67724343083788,2.92513634110064,1.21790864607359,1.21359746502554,1.83440753594447,0.472074324761268,1.12521825354056,4.1042443577418,0.763079045504516,0.441896057424932,1.48951305210062,2.94669224634089,5.37173158586795,0.422495742708715,3.56534672673579,5.03330387359617,1.61453730249402,1.3084434480826,1.26102045655407,2.98980405682137,0.888103295897911,3.64510357612468,2.96178138000905,2.06721131253907,0.797568493888901,1.33646612489492,2.86046862537992,0.502252592097605,1.61453730249402,1.34724407751504
"Port",89.7335329341317,64.6793587174349,668,0.534521158129176,0.089086859688196,3.69710467706013,3.02895322939866,0.801781737193764,2.62806236080178,0.979955456570156,1.29175946547884,1.78173719376392,0.356347438752784,1.24721603563474,0.66815144766147,1.11358574610245,3.42984409799555,2.271714922049,7.66146993318486,0,0.66815144766147,0.489977728285078,0.534521158129176,3.87527839643653,8.37416481069042,0.356347438752784,0.133630289532294,1.78173719376392,0.089086859688196,0.133630289532294,2.62806236080178,0.356347438752784,0.267260579064588,0.267260579064588,2.271714922049,0.133630289532294,0.089086859688196,9.71046770601336,10.9576837416481,0.089086859688196,0,2.67260579064588,4.00890868596882,1.51447661469933,3.78619153674833,0.356347438752784,9.04231625835189,0.534521158129176,2.3162583518931,0.089086859688196,0.089086859688196,0.757238307349666,0.044543429844098
"Portuguese Red",88.8106244931062,24.8192167577413,2466,0,0.0315855969677827,2.60054748368077,4.48515476942514,0.631711939355654,2.33733417561592,1.47399452516319,0.421141292903769,0.958096441356075,0.27374184038745,1.02126763529164,1.01073910296905,1.75826489787324,5.15898083807117,0.989682038323858,3.61128658664982,0.526426616129712,0.610654874710465,0.758054327226785,0.0947567909033481,2.82164666245525,13.7502632133081,0.684354600968625,0.126342387871131,6.48557591071805,0.189513581806696,0.505369551484523,1.91619288271215,0.368498631290798,1.48452305748579,0.526426616129712,2.69530427458412,0.0842282585807538,0.115813855548537,9.04400926510844,11.7077279427248,0.0736997262581596,0,2.90587492103601,5.19056643503896,2.77953253316488,3.68498631290798,0.20004211412929,1.21078121709834,0.0421141292903769,2.15834912613182,0.0105285323225942,0.0526426616129712,0.315855969677827,0.115813855548537
"Portuguese White",86.9309749784297,15.3448275862069,1159,0.272614622057001,5.45229244114002,2.45353159851301,0.0495662949194548,0.148698884758364,0,6.49318463444857,0,0,0,0.57001239157373,11.5737298636927,0.148698884758364,0.0247831474597274,2.18091697645601,1.83395291201983,0.0743494423791822,0.743494423791822,0.173482032218092,0.793060718711276,7.83147459727385,6.61710037174721,1.06567534076828,0.0743494423791822,0.793060718711276,0,0,6.59231722428748,2.6270136307311,3.02354399008674,0.396530359355638,1.04089219330855,0.0247831474597274,2.15613382899628,6.86493184634449,10.8054522924411,0.0247831474597274,0,3.54399008674102,5.27881040892193,0,3.02354399008674,0,1.01610904584882,3.27137546468401,0.0247831474597274,0.0495662949194548,0,0.842627013630731,0.0247831474597274
"Rhone-style Red",89.1536369816451,34.9252669039146,1471,0.140308679094007,0.120264582080577,1.50330727600722,2.34515935057126,0.120264582080577,3.5277610743636,2.18480657446382,9.24032872319102,3.56784926839046,1.50330727600722,1.44317498496693,1.02224894768491,1.18260172379234,4.18921627580677,0.801763880537182,2.20485067147725,1.36299859691321,0.922028462617759,1.06233714171177,0.721587492483464,2.08458608939667,1.40308679094007,2.20485067147725,1.32291040288635,1.44317498496693,2.60573261174584,2.50551212667869,1.64361595510122,0.561234716376027,0.541190619362598,4.50992182802165,5.03106835037082,3.68811385047104,0.100220485067148,3.54780517137703,4.02886349969934,0.781719783523752,1.82401282822209,0.841852074564041,3.16696732812187,0.982160753658048,4.63018641010223,0.962116656644618,2.40529164161155,0.300661455201443,2.00440970134295,1.28282220885949,0.841852074564041,2.38524754459812,1.20264582080577
"Rhone-style White",88.4729411764706,32.4521531100478,425,3.8560411311054,8.9974293059126,2.18508997429306,0.12853470437018,0.77120822622108,0,1.67095115681234,0.12853470437018,0.25706940874036,0.25706940874036,1.41388174807198,6.68380462724936,0,0,1.41388174807198,2.95629820051414,0.12853470437018,1.41388174807198,1.02827763496144,2.95629820051414,6.94087403598972,2.69922879177378,3.98457583547558,0.77120822622108,0.38560411311054,0,0.12853470437018,6.04113110539846,0.6426735218509,0.6426735218509,1.15681233933162,0.38560411311054,0,3.8560411311054,6.16966580976864,8.22622107969152,0.12853470437018,0.51413881748072,0.6426735218509,3.59897172236504,0.89974293059126,3.8560411311054,0,3.98457583547558,0.38560411311054,0.38560411311054,1.54241645244216,0.38560411311054,5.01285347043702,0.38560411311054
"Riesling",89.4444016929588,31.9632530120482,5198,0.215862405124991,8.85732191351577,2.84102778358053,0.215862405124991,0.675440428939489,0,3.12652322261681,0.536174361116914,0.0139266067822575,0,1.41355058839914,4.31724810249983,0.174082584778219,0.264605528862893,1.55977995961284,11.8724322818745,1.60155977995961,0.919156047628995,1.70600933082654,2.61820207506441,7.82675301162872,1.53192674604833,0.591880788245944,0.940045957802381,3.82981686512081,0,0.0417798203467725,2.8340644801894,1.0653854188427,5.04143165517722,0.250678922080635,0.807743193370935,0.0626697305201588,2.98725715479423,3.18919295313697,7.33235847085858,0.208899101733863,2.47197270385071,0.44565141703224,1.49014692570155,0.194972494951605,2.82013787340714,0.0487431237379013,6.36445929949168,0.800779889979806,0,3.34934893113293,0.00696330339112875,0.431724810249983,0.104449550866931
"Rose",86.8462401795735,18.5064377682403,3564,0.249536574932269,1.00527591615571,1.82518180521888,2.08184799657778,0.712961642663625,0.0712961642663625,4.21360330814202,3.65749322686439,0.313703122771995,0.0142592328532725,0.470554684157992,6.98702409810352,1.23342364180807,0.463425067731356,1.32610865535434,4.32054755454157,0.235277342078996,0.891202053329531,0.39925851989163,0.534721231997718,5.41850848424355,5.01212034792528,1.12647939540853,0.427776985598175,0.784257806929987,0.0499073149864537,0.0926850135462712,6.00313703122772,2.23869955796378,1.16925709396834,1.32610865535434,1.05518323114216,3.47925281619849,2.48823613289605,2.84471695422786,5.51832311421646,9.64637102523884,0.356480821331812,1.26907172394125,3.74304862398403,0.213888492799087,2.60943961214887,5.27591615571082,1.82518180521888,1.58277484671325,0.442036218451447,1.23342364180807,0.0356480821331812,1.08370169684871,0.641665478397262
